black,white,started,black_win,width,komi,handicap,event_id,end_date
2,1,2012-06-26,True,19,0.5,5,1,2012-06-26
2,1,2012-06-28,False,19,6.5,0,2,2012-06-28
3,4,2012-06-29,False,19,6.5,0,3,2012-06-29
4,3,2012-06-30,True,19,6.5,0,4,2012-06-30
5,3,2012-06-30,False,19,6.5,0,4,2012-06-30
27,26,2016-06-27,True,19,6.5,0,5,2016-07-24
13,12,2016-06-27,False,19,0.5,3,5,2016-07-24
23,19,2016-06-27,False,19,0.5,3,5,2016-07-24
18,15,2016-06-27,False,19,6.5,0,5,2016-07-24
25,18,2016-06-27,False,19,0.5,4,5,2016-07-24
18,14,2016-06-27,False,19,6.5,0,5,2016-07-24
18,9,2016-06-27,False,19,0.5,4,5,2016-07-24
23,15,2016-06-27,False,19,0.5,3,5,2016-07-24
8,7,2016-06-27,True,19,6.5,0,5,2016-07-24
26,13,2016-07-04,False,19,0.5,4,5,2016-07-24
15,18,2016-07-04,True,19,6.5,0,5,2016-07-24
18,20,2016-07-04,False,19,0.5,0,5,2016-07-24
18,10,2016-07-04,False,19,0.5,4,5,2016-07-24
8,9,2016-07-04,False,19,6.5,0,5,2016-07-24
7,6,2016-07-04,False,19,0.5,0,5,2016-07-24
9,6,2016-07-04,True,19,6.5,0,5,2016-07-24
15,10,2016-07-11,True,19,0.5,4,5,2016-07-24
23,18,2016-07-11,True,19,0.5,3,5,2016-07-24
21,6,2016-07-11,False,19,0.5,4,5,2016-07-24
27,15,2016-07-11,False,19,0.5,4,5,2016-07-24
15,20,2016-07-11,True,19,6.5,0,5,2016-07-24
25,18,2016-07-11,False,19,0.5,4,5,2016-07-24
27,18,2016-07-11,False,19,0.5,4,5,2016-07-24
20,18,2016-07-11,True,19,0.5,0,5,2016-07-24
18,14,2016-07-11,False,19,0.5,0,5,2016-07-24
20,7,2016-07-11,False,19,0.5,4,5,2016-07-24
15,14,2016-07-18,True,19,0.5,0,5,2016-07-24
23,18,2016-07-18,False,19,0.5,3,5,2016-07-24
15,7,2016-07-18,False,19,0.5,4,5,2016-07-24
18,7,2016-07-18,True,19,0.5,4,5,2016-07-24
9,37,2016-08-13,True,19,6.5,0,6,2016-08-13
38,14,2016-08-13,False,19,6.5,0,6,2016-08-13
41,7,2016-08-13,False,19,6.5,0,6,2016-08-13
12,34,2016-08-13,True,19,6.5,0,6,2016-08-13
35,16,2016-08-13,True,19,6.5,0,6,2016-08-13
27,36,2016-08-13,False,19,6.5,0,6,2016-08-13
32,6,2016-08-13,False,19,6.5,0,6,2016-08-13
19,15,2016-08-13,False,19,6.5,0,6,2016-08-13
25,20,2016-08-13,False,19,6.5,0,6,2016-08-13
9,34,2016-08-13,True,19,6.5,0,6,2016-08-13
35,14,2016-08-13,False,19,6.5,0,6,2016-08-13
17,36,2016-08-13,True,19,6.5,0,6,2016-08-13
32,37,2016-08-13,True,19,6.5,0,6,2016-08-13
38,15,2016-08-13,True,19,6.5,0,6,2016-08-13
25,28,2016-08-13,True,19,6.5,0,6,2016-08-13
12,41,2016-08-13,True,19,6.5,0,6,2016-08-13
26,27,2016-08-13,False,19,6.5,0,6,2016-08-13
7,6,2016-08-13,True,19,6.5,0,6,2016-08-13
19,18,2016-08-13,False,19,6.5,0,6,2016-08-13
30,20,2016-08-13,False,19,6.5,0,6,2016-08-13
9,7,2016-08-13,True,19,6.5,0,6,2016-08-13
18,14,2016-08-13,False,19,6.5,0,6,2016-08-13
17,30,2016-08-13,True,19,6.5,0,6,2016-08-13
32,41,2016-08-13,True,19,6.5,0,6,2016-08-13
25,27,2016-08-13,True,19,6.5,0,6,2016-08-13
34,37,2016-08-13,False,19,6.5,0,6,2016-08-13
38,35,2016-08-13,True,19,6.5,0,6,2016-08-13
36,28,2016-08-13,True,19,6.5,0,6,2016-08-13
9,6,2016-08-13,False,19,6.5,0,6,2016-08-13
19,14,2016-08-13,False,19,6.5,0,6,2016-08-13
17,20,2016-08-13,True,19,6.5,0,6,2016-08-13
32,7,2016-08-13,True,19,6.5,0,6,2016-08-13
18,15,2016-08-13,False,19,6.5,0,6,2016-08-13
25,30,2016-08-13,True,19,6.5,0,6,2016-08-13
12,37,2016-08-13,True,19,6.5,0,6,2016-08-13
38,16,2016-08-13,False,19,6.5,0,6,2016-08-13
26,28,2016-08-13,True,19,6.5,0,6,2016-08-13
34,41,2016-08-13,True,19,6.5,0,6,2016-08-13
36,27,2016-08-13,True,19,6.5,0,6,2016-08-13
6,15,2016-08-14,True,19,6.5,0,7,2016-08-15
6,43,2016-08-14,True,19,6.5,0,7,2016-08-15
6,17,2016-08-14,True,19,6.5,0,7,2016-08-15
6,9,2016-08-14,True,19,6.5,0,7,2016-08-15
42,20,2016-08-14,True,19,6.5,0,7,2016-08-15
42,38,2016-08-14,True,19,6.5,0,7,2016-08-15
42,7,2016-08-14,True,19,6.5,0,7,2016-08-15
42,14,2016-08-14,True,19,6.5,0,7,2016-08-15
